dimension,threshold
1,1.2
2,0.9
3,0.8
4,0.75
5,0.7
6,0.65
7,0.65
8,0.6
9,0.6
10,0.55
11,0.55
12,0.55
13,0.55
14,0.55
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.45
25,0.45
26,0.45
27,0.45
28,0.45
29,0.45
30,0.45
31,0.45
32,0.45
33,0.45
34,0.45
35,0.45
36,0.45
37,0.45
38,0.45
39,0.45
40,0.45
41,0.45
42,0.45
43,0.45
44,0.45
45,0.4
46,0.4
47,0.4
48,0.4
49,0.4
50,0.4
